PSRJ;RAJ;Gl;Gb;DECJD;P0;P1;F0;F1;F2;F3;PEPOCH;DM;W50;W10;TAU_SC;S400;S1400;S2000;DIST_DM;NGLT;AGE;BSURF;AGE_I;BSURF_I;B_LC;
;;(hms);(deg);(deg);(deg);(s);;(Hz);(s^-2);(s^-3);(s^-4);(MJD);(cm^-3pc);(ms);(ms);(s);(mJy);(mJy);(mJy);(kpc);;(Yr);(G);(Yr);(G);(G);
1;J0007+7303;00:07:01.7;119.660;10.463;73.05205556;0.315873;3.60e-13;3.165827;-3.612e-12;4.100e-23;5.400e-30;54952.00;*;*;*;*;*;*;*;*;1;1.39e+04;1.08e+13;*;*;3.21e+03;
2;J0040-7335;00:40:54.5;303.956;-43.509;-73.59822222;0.145218;2.39e-14;6.886188;-1.131e-12;*;*;59692.10;198.27;2.000;*;*;*;*;*;*;1;9.65e+04;1.88e+12;*;*;5.77e+03;
3;J0040-7337;00:40:46.7;303.968;-43.488;-73.61869444;0.059889;3.40e-14;16.697679;-9.491e-12;4.900e-22;*;59942.00;101.79;0.870;*;*;*;*;*;*;1;2.79e+04;1.44e+12;*;*;6.31e+04;
4;J0048-7317;00:48:56.8;303.180;-43.831;-73.29611111;0.079314;3.30e-14;12.608085;-5.249e-12;3.330e-22;*;59860.00;292.42;2.100;*;*;*;*;*;*;1;3.81e+04;1.64e+12;*;*;3.08e+04;
5;J0146+6145;01:46:22.4;129.384;-0.431;61.75077778;8.688994;1.99e-12;0.115088;-2.640e-14;*;*;55762.00;*;*;*;*;*;*;*;*;3;6.91e+04;1.33e+14;6.91e+04;1.33e+14;1.90e+00;
6;J0147+5922;01:47:44.6;130.059;-2.723;59.36757889;0.196321;2.57e-16;5.093689;-6.662e-15;3.390e-26;*;54011.00;40.11;7.000;10.100;0.00;6.60;2.10;*;*;1;1.21e+07;2.27e+11;1.21e+07;2.27e+11;2.81e+02;
7;J0157+6212;01:57:49.9;130.586;0.326;62.20740222;2.351745;1.89e-13;0.425216;-3.416e-14;*;*;49709.00;30.21;33.400;118.900;0.00;6.50;1.90;*;*;3;1.97e+05;2.13e+13;1.97e+05;2.13e+13;1.54e+01;
8;J0205+6449;02:05:37.9;130.719;3.084;64.82814842;0.065716;1.94e-13;15.217011;-4.487e-11;5.852e-21;*;54114.46;140.70;2.300;*;*;*;0.04;*;*;9;5.37e+03;3.61e+12;5.37e+03;3.61e+12;1.19e+05;
9;J0212+5222;02:12:52.1;135.331;-8.520;52.38041719;0.376386;6.60e-15;2.656844;-4.658e-14;*;*;56500.00;38.21;13.000;20.000;*;4.10;0.90;*;*;2;9.04e+05;1.59e+12;*;*;2.80e+02;
10;J0215+6218;02:15:56.6;132.575;1.030;62.30927029;0.548880;6.62e-16;1.821892;-2.198e-15;3.200e-26;*;51341.00;84.00;41.000;105.000;*;14.50;3.70;*;*;1;1.31e+07;6.10e+11;*;*;3.46e+01;
11;J0358+5413;03:58:53.7;148.190;0.811;54.22049556;0.156384;4.39e-15;6.394511;-1.797e-13;4.100e-25;*;54096.00;57.14;2.000;8.700;0.00;46.00;23.00;*;*;7;5.64e+05;8.39e+11;5.64e+05;8.39e+11;2.06e+03;
12;J0406+6138;04:06:30.0;144.025;7.046;61.64483556;0.594576;5.57e-15;1.681870;-1.576e-14;*;*;53784.00;65.41;18.400;32.400;0.00;15.00;2.80;*;*;1;1.69e+06;1.84e+12;1.69e+06;1.84e+12;8.22e+01;
13;J0415+6954;04:15:55.6;138.911;13.667;69.90274737;0.390715;7.66e-17;2.559410;-5.018e-16;1.800e-27;*;49874.00;27.45;4.400;12.100;*;6.40;0.50;*;*;1;8.08e+07;1.75e+11;*;*;2.75e+01;
14;J0417+35;04:17:43;163.219;-10.518;35.75000000;0.654400;*;1.528117;*;*;*;49717.00;48.53;8.600;15.700;*;*;*;*;*;1;*;*;*;*;*;
15;J0502+4654;05:02:04.5;160.363;3.077;46.90169167;0.638565;5.58e-15;1.566010;-1.369e-14;1.130e-26;*;48717.00;41.83;19.000;23.900;0.00;10.80;2.50;*;*;1;1.81e+06;1.91e+12;1.81e+06;1.91e+12;6.88e+01;
16;J0525+1115;05:25:56.5;192.695;-13.245;11.25521757;0.354438;7.36e-17;2.821371;-5.859e-16;-3.300e-28;*;59400.00;79.41;14.700;22.300;0.00;19.50;1.94;*;*;1;7.63e+07;1.63e+11;*;*;3.44e+01;
17;J0528+2200;05:28:52.2;183.856;-6.896;22.00111111;3.745539;4.01e-14;0.266984;-2.855e-15;*;*;54200.00;50.87;64.000;214.000;0.00;57.00;8.90;*;*;4;1.48e+06;1.24e+13;*;*;2.21e+00;
18;J0534+2200;05:34:31.9;184.557;-5.784;22.01449797;0.033392;4.21e-13;29.946923;-3.775e-10;1.115e-20;-2.730e-30;48442.50;56.77;2.000;7.300;0.00;550.00;14.00;*;*;40;1.26e+03;3.79e+12;1.26e+03;3.79e+12;9.55e+05;
19;J0537-6910;05:37:47.4;279.559;-31.745;-69.17218889;0.016122;5.18e-14;62.026190;-1.992e-10;6.100e-21;*;52061.33;*;*;*;*;*;0.00;*;*;23;4.93e+03;9.25e+11;*;*;2.07e+06;
20;J0540-6919;05:40:11.2;279.717;-31.516;-69.33171389;0.050570;4.79e-13;19.774686;-1.873e-10;3.772e-21;*;52910.00;147.20;16.980;22.470;0.00;0.00;0.10;*;*;2;1.67e+03;4.98e+12;*;*;3.61e+05;
21;J0601-0527;06:01:58.9;212.199;-13.481;-5.46413083;0.395969;1.30e-15;2.525449;-8.305e-15;2.420e-26;*;49379.00;80.54;17.000;24.000;0.00;22.70;2.60;*;*;2;4.82e+06;7.27e+11;4.82e+06;7.26e+11;1.10e+02;
22;J0611+1436;06:11:18.6;195.378;-2.004;14.61444444;0.270329;4.00e-15;3.699190;-5.469e-14;*;*;55818.00;43.99;17.000;33.000;*;*;1.10;*;*;1;1.07e+06;1.05e+12;*;*;4.99e+02;
23;J0613-0200;06:13:43.9;210.413;-9.305;-2.01312150;0.003062;9.59e-21;326.600562;-1.023e-15;*;*;55000.00;38.78;0.462;0.920;0.00;9.20;2.25;*;*;1;5.06e+09;1.73e+08;5.42e+09;1.68e+08;5.66e+04;
24;J0625+10;06:25:45;200.878;-0.956;10.26666667;0.498397;*;2.006433;*;*;*;49717.00;78.00;*;*;*;*;0.09;*;*;2;*;*;*;*;*;
25;J0631+1036;06:31:27.5;201.219;0.450;10.61736111;0.287841;1.03e-13;3.474139;-1.240e-12;5.398e-23;*;59400.00;125.31;6.500;19.500;0.00;1.50;1.11;*;*;19;4.44e+04;5.50e+12;*;*;2.16e+03;
26;J0633+1746;06:33:54.1;195.134;4.266;17.77025250;0.237099;1.10e-14;4.217640;-1.952e-13;*;*;50497.72;2.89;*;*;*;*;*;*;*;1;3.42e+05;1.63e+12;3.43e+05;1.63e+12;1.15e+03;
27;J0659+1414;06:59:48.1;201.108;8.258;14.23872222;0.384929;5.49e-14;2.597884;-3.708e-13;7.640e-25;*;57600.00;13.95;14.800;31.700;0.00;6.50;2.70;*;*;2;1.11e+05;4.65e+12;1.11e+05;4.65e+12;7.65e+02;
28;J0729-1448;07:29:16.4;230.392;1.424;-14.81022222;0.251709;1.13e-13;3.972847;-1.789e-12;-1.180e-22;*;56471.00;91.93;7.600;18.000;*;*;0.83;*;*;6;3.52e+04;5.41e+12;*;*;3.18e+03;
29;J0729-1836;07:29:32.3;233.760;-0.341;-18.61173444;0.510176;1.90e-14;1.960107;-7.284e-14;*;*;59400.00;61.23;14.000;25.000;*;11.20;1.90;*;*;2;4.26e+05;3.15e+12;4.26e+05;3.15e+12;2.22e+02;
30;J0742-2822;07:42:49.0;243.773;-2.444;-28.37882222;0.166762;1.68e-14;5.996559;-6.049e-13;-1.320e-24;*;49326.00;73.76;4.400;7.200;0.00;296.00;26.00;*;*;9;1.57e+05;1.69e+12;1.57e+05;1.69e+12;3.43e+03;
31;J0758-1528;07:58:29.0;234.464;7.224;-15.46909389;0.682265;1.62e-15;1.465706;-3.478e-15;-2.370e-26;*;49896.00;63.33;7.300;11.000;*;8.20;2.60;*;*;1;6.68e+06;1.06e+12;*;*;3.14e+01;
32;J0820-1350;08:20:26.3;235.890;12.595;-13.84884972;1.238130;2.11e-15;0.807670;-1.373e-15;1.800e-28;*;48904.00;40.94;23.000;34.000;0.00;102.00;6.00;*;*;2;9.32e+06;1.63e+12;9.37e+06;1.63e+12;8.07e+00;
33;J0834-4159;08:34:17.8;260.886;-1.036;-41.99333056;0.121118;4.28e-15;8.256428;-2.918e-13;*;*;55308.00;240.50;4.700;*;*;*;0.28;*;*;1;4.48e+05;7.29e+11;*;*;3.84e+03;
34;J0835-4510;08:35:20.6;263.552;-2.787;-45.17635419;0.089328;1.25e-13;11.194650;-1.567e-11;1.028e-21;*;51559.32;67.77;1.700;3.800;0.00;5000.00;1050.00;*;*;23;1.13e+04;3.38e+12;1.13e+04;3.38e+12;4.45e+04;
35;J0846-3533;08:46:06.0;257.190;4.710;-35.56132302;1.116099;1.60e-15;0.895978;-1.285e-15;9.300e-28;*;59400.00;94.16;19.000;75.000;0.00;16.00;5.00;*;*;1;1.10e+07;1.35e+12;*;*;9.12e+00;
36;J0901-4624;09:01:40.1;267.404;-0.004;-46.41342799;0.442058;8.74e-14;2.262145;-4.471e-13;*;*;59400.00;198.96;3.900;35.000;*;*;0.51;*;*;1;8.02e+04;6.29e+12;*;*;6.83e+02;
37;J0905-5127;09:05:51.9;271.633;-2.854;-51.46501389;0.346310;2.48e-14;2.887587;-2.072e-13;*;*;59400.00;196.43;8.100;11.000;0.00;12.00;1.05;*;*;2;2.21e+05;2.97e+12;*;*;6.70e+02;
38;J0908-4913;09:08:35.4;270.265;-1.019;-49.21805556;0.106771;1.51e-14;9.365805;-1.325e-12;4.000e-24;*;59400.00;180.16;2.400;4.400;0.00;28.00;20.00;*;*;1;1.12e+05;1.29e+12;1.12e+05;1.28e+12;9.90e+03;
39;J0922+0638;09:22:14.0;225.420;36.392;6.63980556;0.430632;1.37e-14;2.322168;-7.397e-14;1.800e-24;*;59400.00;27.30;11.400;25.400;0.00;52.00;10.00;*;*;2;4.97e+05;2.46e+12;4.98e+05;2.46e+12;2.89e+02;
40;J0940-5428;09:40:58.2;277.510;-1.292;-54.47777770;0.087569;3.29e-14;11.419623;-4.290e-12;*;*;59400.00;134.83;2.800;10.000;*;*;0.66;*;*;2;4.22e+04;1.72e+12;*;*;2.40e+04;
41;J0954-5430;09:54:06.0;278.998;-0.101;-54.51465199;0.472866;4.39e-14;2.114764;-1.962e-13;3.200e-25;*;59400.00;201.16;11.000;18.000;*;*;0.51;*;*;1;1.71e+05;4.61e+12;*;*;4.09e+02;
42;J1015-5719;10:15:37.9;283.088;-0.578;-57.32022222;0.139920;5.74e-14;7.146916;-2.930e-12;*;*;59400.00;277.79;46.000;63.000;*;*;3.00;*;*;1;3.86e+04;2.87e+12;*;*;9.81e+03;
43;J1016-5857;10:16:21.1;284.079;-1.880;-58.95336111;0.107386;8.08e-14;9.312161;-7.010e-12;*;*;52717.00;393.62;9.000;*;*;*;0.90;*;*;4;2.10e+04;2.98e+12;*;*;2.26e+04;
